[H3PO3]/M,E (V vs RHE),Gas,[H3PO4]/M,[HClO4]/M,Catalyst,-5.0eV,-2.0eV,0.0eV,2.0eV,5.0eV,10.0eV,15.0eV
0.0,0.1,N2,1,0,Pt on vulcan carbon,-0.0053,-0.0121572763678517,-0.0226646285441442,-0.0169199645695373,0.0039581266682995,0.0128046374599115,0.00804
0.0,1.0,N2,1,0,Pt on vulcan carbon,0.000883432,-0.0003183491986508,-0.0008973156572493,0.0311030009541141,0.0457088420066158,-0.0059002176676764,-0.0155
2e-06,0.1,N2,1,0,Pt on vulcan carbon,-0.0028,-0.0082254091156964,-0.0105222610785607,-0.0145105881798102,-0.0002819407945273,0.0096680989513344,0.00691
2e-06,0.5,N2,1,0,Pt on vulcan carbon,0.00138,0.0047080598045414,0.0072135445893628,0.0043936928925629,-0.0011028298447527,0.0003542446131734,0.00149
2e-06,1.0,N2,1,0,Pt on vulcan carbon,0.00239,0.0038983195733664,0.0078035183422643,0.0383449589094128,0.0460768127554964,-0.0060176362504817,-0.01518
1e-05,0.1,N2,1,0,Pt on vulcan carbon,-0.00257,-0.0075150850643341,-0.0123379043610927,-0.0129246563820695,0.0013523745169207,0.0098505684070727,0.00634
1e-05,0.5,N2,1,0,Pt on vulcan carbon,0.0019,0.005781797719009,0.0113856529512933,0.0056171539768755,-0.0017422298079722,-0.0001790344299742,0.00111
1e-05,1.0,N2,1,0,Pt on vulcan carbon,0.00438,0.0063218918851362,0.0150588552703635,0.0401709719782329,0.0456290420109537,-0.0061756730911686,-0.01543
2e-05,0.1,N2,1,0,Pt on vulcan carbon,0.000191383,-0.0003421580023605,-0.0016844731497044,-0.009322921142059,-0.0019797729308669,0.0080302631891916,0.00686
2e-05,0.5,N2,1,0,Pt on vulcan carbon,0.00557,0.0127442661385126,0.0223503436195288,0.0106675023679111,-0.0042826085240144,-0.0001767941866176,0.00269
2e-05,1.0,N2,1,0,Pt on vulcan carbon,0.00641,0.0136973485566873,0.0247072440010279,0.044500184852111,0.0412705276341942,-0.0070945610755907,-0.01366
0.0001,0.1,N2,1,0,Pt on vulcan carbon,0.00153,0.00242700365933,0.0024055053958704,-0.0067948496705985,-0.0020262000730877,0.0096371473255834,0.00837
0.0001,0.5,N2,1,0,Pt on vulcan carbon,0.00502,0.0133529660813829,0.0238983039963991,0.01013445482261,-0.0044534035104158,0.0007830192245849,0.00249
0.0001,1.0,N2,1,0,Pt on vulcan carbon,0.00531,0.0128084576685206,0.0234816643109719,0.0431050053183801,0.0419930994448282,-0.0087351058679555,-0.01535
0.0002,0.1,N2,1,0,Pt on vulcan carbon,0.000987223,0.0028278668563733,0.004800121674158,-0.0052073332686529,-0.0048664176586644,0.0092097138600766,0.00572
0.0002,0.5,N2,1,0,Pt on vulcan carbon,0.00543,0.0147246919984917,0.0247904637701432,0.0082326724941575,-0.0061765162965661,0.000357457296442,0.00232
0.0002,1.0,N2,1,0,Pt on vulcan carbon,0.00869,0.0181611116102298,0.0334007977082015,0.0478966333121526,0.0391571611623045,-0.0082887400759881,-0.01382
0.0,0.1,CO,1,0,Pt on vulcan carbon,-0.00885,-0.0242966918229228,-0.0463520703063899,-0.0316365109770787,0.0243631762667722,0.018309010856657,0.00725
2e-06,0.1,CO,1,0,Pt on vulcan carbon,-0.00891,-0.0238220920728483,-0.0437980147926596,-0.0305397642213911,0.0200401359511808,0.0157417877673265,0.00623
1e-05,0.1,CO,1,0,Pt on vulcan carbon,-0.00466,-0.0134387163124708,-0.0250915964116711,-0.0229055077985948,0.0132079101767744,0.014135898391048,0.00754
